BISHAN ST 24 281-3,99,570281,1992,3,70,4770.6,"Bishan, Ang Mo Kio",HDB,1.35727709271493,103.844629114303,37706.323705206494,29258.732154376823,7.7,20.4,5534.0,0,0,1,8
BISHAN ST 12 113-3,99,570113,1986,3,64,6777.3,"Bishan, Ang Mo Kio",HDB,1.3472318509573,103.848808988875,36595.5746941232,29723.911080141315,3.2,-2.4,6364.1,0,8,2,9
BISHAN ST 12 112-3,99,570112,1985,3,63,5432.7,"Bishan, Ang Mo Kio",HDB,1.34681029782167,103.84904106054,36548.96166624997,29749.73838748356,9.7,5.8,5975.3,0,10,2,9
SHUNFU RD 302-3,99,570302,1984,3,62,6000.0,"Bishan, Ang Mo Kio",HDB,1.34936138318073,103.839099307727,36831.042778443276,28643.330531714273,0.3,-6.2,5627.5,0,0,1,7
BISHAN ST 24 289-3,99,570289,1998,3,76,5880.0,"Bishan, Ang Mo Kio",HDB,1.35666114854932,103.844930577727,37638.21589896278,29292.28188378782,-6.8,-12.7,5633.6,0,0,1,7
BRIGHT HILL DR 447-3,99,570447,1990,3,68,5427.5,"Bishan, Ang Mo Kio",HDB,1.3582216078161,103.831932958776,37810.76047729583,27845.79652298372,5.0,8.5,5895.8,0,0,1,6
BISHAN ST 23 217-3,99,570217,1992,3,70,5620.4,"Bishan, Ang Mo Kio",HDB,1.35674001530712,103.849329508235,37646.93937401586,29781.832196445102,0.0,-14.5,4766.4,0,0,2,9
BISHAN ST 12 128-3,99,570128,1987,3,65,6041.3,"Bishan, Ang Mo Kio",HDB,1.34608831988483,103.850466820468,36469.13010134015,29908.410271053337,-6.1,4.6,6177.7,0,12,2,8
BISHAN ST 13 192-3,99,570192,1987,3,65,7091.7,"Bishan, Ang Mo Kio",HDB,1.34897431725155,103.851306462341,36788.24963065293,30001.850805782942,-18.1,-23.3,5437.5,0,17,0,9
BT BATOK WEST AVE 4 408-2,99,650408,1988,2,66,4114.7,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",HDB,1.36481977758189,103.744989792545,38540.532945481296,18170.051416231498,10.9,5.8,4176.5,0,0,0,1
BT BATOK WEST AVE 2 423-2,99,650423,1988,2,66,3989.0,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",HDB,1.36215691970023,103.744946718558,38246.08751327806,18165.246979124182,0.4,-7.2,3676.5,0,0,1,1
BT BATOK EAST AVE 4 272-2,99,650272,1986,2,64,4338.5,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",HDB,1.34881544166238,103.757951913114,36770.804496628814,19612.527812787994,3.4,-7.9,3945.3,0,0,0,1
