BJ12,21452.9618,40246.9897
BJ13,21485.2500,39887.6600
BJ14,21346.1751,40106.9685
BJ15,21374.3071,39941.9395
BJ16,21356.3257,39943.2707
BJ17,20836.1138,40357.2456
BJ18,20743.2768,40326.2581
BJ19,20773.5976,40665.0357
BJ2,20581.8743,39791.6392
BJ20,20929.1589,40888.8561
BJ21,21028.2400,40876.3400
BJ22,21343.2842,40030.3147
BJ23,21281.8500,39957.4300
BJ24,21005.5592,40580.2986
BJ25,21145.4428,40760.7142
BJ26,21253.8552,40640.1785
BJ27,21059.2170,40510.9727
BJ28,20457.7599,40100.1252
BJ29,20695.6095,40765.0345
BJ3,20884.1354,39921.5746
BJ30,20839.8705,40996.2639
BJ31,20677.2932,41092.3435
BJ32,20602.6396,40944.0938
BJ33,21177.2481,40121.6311
BJ34,20562.8579,41081.0580
BJ35,20494.0826,40995.7262
BJ36,20429.9470,40911.5317
BJ37,20359.2531,40813.4447
BJ38,20221.9220,40787.0081
BJ39,20158.8662,40686.9514
BJ4,21204.7046,39724.8735
BJ40,20163.4889,40531.4817
BJ41,20447.5641,39722.7569
BJ42,20317.5802,39878.5860
BJ43,20027.2654,40409.2626
BJ44,20395.5322,40290.7701
BJ45,20397.9729,40073.9347
BJ48,20352.8446,41013.5834
BJ49,20006.0358,40760.5616
BJ5,21295.8798,39665.1802
BJ50,21363.9910,41123.9328
BJ51,20226.0907,40152.4974
BJ52,20134.1254,40120.9810
BJ53,21168.4806,41302.9377
BJ54,21342.9805,41219.4493
BJ55,19927.0486,40913.7640
BJ56,19723.7125,40870.4549
BJ57,19859.5490,40799.6812
BJ58,21095.0855,41051.0080
BJ59,21094.1509,41309.8258
BJ6,21443.7871,39574.4888
BJ60,20897.8022,41135.8221
BJ61,20712.1138,41213.8830
BJ62,21108.8428,40690.9971
BJ63,20985.8418,40364.4597
BJ65,19702.7354,40739.1965
BJ66,19584.9139,40909.9744
BJ67,19616.1105,41031.7585
BJ68,20950.1385,40814.0823
BJ8,21353.5943,39632.9105
BKE1,30034.1445,32237.4980
BKE2,30466.3496,32935.1367
BKE3,30502.0605,32966.8867
BKE4,30617.8164,32970.7734
BKE7,30448.7660,32767.6002
BKE9,30019.3942,32184.2320
BKRM,31121.6383,33283.2558
BLM,31076.0824,33087.5529
BL10,14434.5806,36212.2117
BL13,14836.3467,36315.1094
BL15,14004.6897,36456.5691
BL17,14024.5648,36666.6301
BL18,14768.3178,36520.4472
BL19,14648.3419,36766.7841
BL20,14072.9303,36691.7296
BL21,14206.3144,36819.8339
BL22,14693.2928,36077.4814
BL23,14451.8262,36853.4082
BL3,14190.8096,36556.4297
BL8,14653.3598,36396.1197
BL8L,14505.6710,36484.5266
BL9,14356.1152,36445.4219
BMVM,26866.0055,29672.9702
BM1,25357.1463,29858.3486
BM10,25857.7754,30056.6386
BM12,25769.3044,30009.7592
BM13,25648.7676,29924.1943
BM14,25276.6255,30161.1078
BM19,26373.3689,29793.0744
BM2,25399.6152,29918.9512
BM20,26379.7745,29741.6402
BM21,26296.1582,29735.9980
BM25,26157.2988,29795.3418
BM26,25118.4593,29967.6925
BM27,25937.1387,29610.3105
BM28,26052.9053,29603.6488
BM29,26194.9184,29563.3295
BM3,25574.8666,30013.7121
BM30,26154.2109,29519.0586
BM31,26136.5799,29432.2350
BM33,26367.6248,29465.2670
BM34,26144.1953,29717.0977
BM35,26292.5455,29646.5632
BM36,26279.3643,29471.6752
BM4,25288.5551,30009.2384
BM5,25139.9101,30093.7491
BM6,25823.7973,30215.5782
BM9,25889.8506,30167.4343
BP1,27059.7441,28364.7207
BP2,27297.2734,28508.1074
BRBL,29935.2249,32102.3708
BRB1,29921.7021,32043.7500
BRM,31656.3580,33667.0566
BRM1,30605.3384,34301.5549
BRM2,30711.6128,34245.0049
BRM3,30374.6768,33753.3566
BRM4,30532.4552,33886.3275
BRM5,30912.1514,34418.5838
BRM6,31102.1822,34445.0449
BRM7,30457.6666,34068.0647
BR10,30357.7598,33918.1953
BR11,30854.1176,34276.8274
BR12,30715.4375,34382.2305
BR14,30967.5336,34242.9719
BR18,30496.3613,34277.7070
BR21,30595.5166,34387.1259
BR22,30701.4824,34507.3281
BR4,30459.8203,33979.9766
BR5,30768.0099,34127.2333
BR6,30249.9707,33920.4375
BR8,30363.7715,34154.9883
BR9,29939.1769,33469.7037
BTM,27996.7913,29911.5480
BTM2,27590.7177,29931.3587
BTM3,27485.7966,29859.2793
BVM2,26893.4354,29547.6350
BWM,25037.7298,29927.4975
B10,39172.2903,34582.9441
B10M,39040.5507,34603.0432
B11,38803.7496,34507.0389
B12,38523.5625,34424.8004
B13,38733.3633,34652.0234
B14,38920.4797,34597.3930
B16,39934.8473,33971.8042
B17,40079.2617,34051.0508
B19,39979.5352,33797.4766
B20,40253.2539,33562.5352
B21,39989.0226,34488.9490
B23M,39944.1477,34766.4678
B24,39682.7466,34983.1176
B24A,39829.8122,34830.0817
B25,39927.1063,35018.7287
B26,39910.4336,35166.7734
B27,39654.1953,35145.7266
B28,39379.6445,34971.7852
B30,39733.8204,34684.0888
B31,39744.5963,34524.6842
B32,39511.7026,34404.0851
B33,39405.1638,34385.3038
B34,39391.0547,34503.7773
B35,39335.7148,34586.2422
B40,39067.9293,34972.3428
B41,38925.7812,34972.8867
B42,38851.0273,34961.4805
B43,38492.9294,34812.5657
B44,38482.3867,35129.4805
B44A,38743.3984,35178.6016
B44B,37970.7092,34944.8181
B45,38250.9386,34876.1148
B46,38112.1565,34836.4398
B47,37896.9112,34789.4034
B48,38027.5007,34700.9495
B49,38388.8477,34932.0469
B50,36875.1304,34739.7397
B50A,36838.2461,34857.5547
B50B,36751.1433,34871.3190
B51,37245.6836,34927.6641
B52,37412.3828,35122.5781
B53,37110.0129,35160.4187
B54,37112.9655,35062.2564
B57,37537.5855,35336.4582
B59,38310.1233,35520.6463
B6,38797.4548,34284.6160
B6M,38858.3585,34156.6609
B6T,39044.9784,33995.6053
B60,38654.6406,35490.0933
B63,37937.9062,35591.9375
B65,40502.4219,33588.3320
B66,35903.9044,34750.8852
B67,36132.6219,34913.1736
B68,39530.0381,33861.6257
B69,40091.8567,35069.2759
B7,38973.5423,34152.0151
B7A,39208.9372,34373.2247
B7B,39298.3108,34305.7565
B70,38536.5889,34280.1109
B71,38125.3637,34059.3926
B72,36243.3489,35174.2762
B73,36196.3322,34965.8640
B74,36428.7057,35005.0793
B75,37371.4282,35026.2573
B76,39251.4100,35342.7343
B77,39464.4992,35319.6825
B78,39692.6527,35310.6109
B79,39583.9006,35439.6773
B8,38567.8313,34234.9589
B80,38020.7204,35604.6100
B81,39309.7384,33939.7118
B82,38805.8064,35117.6383
B83,37899.5392,34299.8988
B84,39227.6155,34273.0906
B85,40023.6834,34256.9953
B86,39379.4586,34770.0381
