Buffalo Road Blk 665 (Tekka Centre/Zhu Jiao Market),32059.129999892564,29915.580000071026
Bukit Merah Central Blk 163 (Bukit Merah Central Food Centre),29569.72999985675,26183.030000074417
Bukit Merah Lane 1 Blk 120 (Alexandra Village Food Centre),29857.809999860976,24791.54000007135
Queen Street Blk 270 (Albert Centre),31483.659999882908,30325.21000007977
Toa Payoh Lorong 7 Blk 22 (Kim Keat Palm Market and Food Centre),35268.63999993709,30639.500000031643
Toa Payoh Lorong 8 Blk 210,35824.759999944494,30345.609999997283
Upper Boon Keng Road Blk 17 (Blk 17 Upper Boon Keng Market and Food Centre),33034.66999990549,32262.610000035173
West Coast Drive Blk 502 (Ayer Rajah Market),32687.739999900718,19747.530000005492
West Coast Drive Blk 503 (Ayer Rajah Food Centre),32678.149999900168,19812.65999998628
Whampoa Drive Blk 90 (Whampoa Drive Makan Place/Whampoa Food Centre),33909.84999991696,30428.249999994052
Marsiling Lane Blk 20/21,47282.71000010635,21755.230000067226
Amoy Street Food Centre (Telok Ayer Food Centre),29074.999999848915,29478.870000049024
Market Street Interim Hawker Centre,29337.859999852124,29742.290000085515
Maxwell Food Centre (Kim Hua Market),29173.82999985121,29280.890000080017
Old Airport Road Blk 51 (51 Old Airport Road Food Centre and Shopping Mall),32285.38999989559,33844.390000003536
Toa Payoh Lorong 1 Blk 127 (Toa Payoh West Market and Food Court),35585.00999994102,29270.15000009289
Toa Payoh Lorong 4 Blk 74 (Toa Payoh Vista Market),35193.07999993502,30078.950000023317
Toa Payoh Lorong 4 Blk 93,35627.259999941336,29802.320000025724
Toa Payoh Lorong 5 Blk 75,35357.90999993822,30183.829999986396
Anchorvale Village Hawker Centre,42089.2600000316,34139.80000008317
Fernvale Hawker Centre,41500.77000002403,32867.90000008273
Punggol Town Hub Hawker Centre,43336.13000005007,35955.52000008378
Bukit Panjang North Hawker Centre,41006.57000001719,19981.129999982582
Buangkok Hawker Centre,40482.990000009995,34575.37000000806
Bukit Batok Hawker Centre,37478.449999966215,17817.900000062804
Our Tampines Hub,37328.96999996596,39841.96000005995
Bukit Canberra Hawker Centre,47872.53000011291,26784.850000072773
Market Street Hawker Centre,29650.699999857046,29874.820000043972
Punggol Digital District Hawker Centre,44041.27000005946,36339.120000056515
Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre),38918.6099999876,30563.2800000421
Ang Mo Kio Ave 4 Blk 160/162 (Mayflower Market),39609.53999999674,28656.120000006784
Ang Mo Kio Ave 4 Blk 628 (Ang Mo Kio 628 Market),40332.2300000084,28819.490000050828
Holland Drive Blk 44 (Holland Drive Market and Food Centre),32270.569999895124,23487.740000070404
Beo Crescent Market,30136.919999864524,27336.6400000051
Jurong West Street 52 Blk 505,36862.39999995964,15216.13000007222
Marine Parade Central Blk 84 (84 Marine Parade Central Market and Food Centre),31625.709999886676,36126.45999998621
Marine Terrace Blk 50A (50A Marine Terrace),32011.649999890615,37175.189999990296
Marsiling Mall Hawker Centre,46139.03000008811,22042.51000000602
Mei Chin Road Blk 159 (Mei Chin Road Market),30625.029999870072,24615.110000083645
New Upper Changi Road Blk 208B,34108.619999919334,38822.04999998667
New Upper Changi Road Blk 58,34047.739999919286,39998.60000008969
Newton Food Centre,32687.90999989988,28694.910000016334
North Bridge Road Market,32010.439999890583,31402.430000089294
Pasir Panjang Food Centre,28708.9299998442,23335.0900000604
Telok Blangah Crescent Blk 11 (11 Telok Blangah Crescent Market and Food Centre),28870.259999845824,26366.579999990245
Telok Blangah Rise Blk 36 (Telok Blangah Rise Market),28355.969999839686,26753.380000021905
Upper Cross Street Blk 531A (Hong Lim Food Centre and Market),29741.539999858076,29391.180000040462
Yishun Ring Road Blk 104/105 (Chong Pang Market and Food Centre),45907.73000008674,27467.950000052784
New Market Road Blk 32 (People's Park Food Centre),29713.299999858682,29030.58000003078
Hougang Ave 1 Blk 105 (Hougang 105 Hainanese Village Centre),37326.04999996628,34317.01999998913
Hougang Street 21 Blk 209 (Kovan Hougang Market and Food Centre),37910.0999999729,33860.34000002292
Jalan Bukit Merah Blk 112 (Blk 112 Jalan Bukit Merah Market and Food Centre),29161.949999850105,27186.979999987387
Telok Blangah Drive Blk 79 (Telok Blangah Food Centre),28428.129999840778,25140.710000069434
Whampoa Drive Blk 91/92 (Whampoa Drive Makan Place/Whampoa Market),33962.77999991779,30309.210000047584
Yishun Park Hawker Centre,45196.730000075884,29271.880000080382
Taman Jurong Market and Food Centre,35197.90999993603,15557.969999985746
Sims Place Blk 49 (Sims Vista Market and Food Centre),33261.94999990693,33130.31000000134
Redhill Lane Blk 79 (Redhill Market),30030.329999862675,26339.98000003448
Tampines Street 11 Blk 137 (Tampines Round Market and Food Centre),36419.77999995222,40387.1300000422
Teban Gardens Road Blk 37A (Teban Gardens Market and Food Centre),33678.39999991412,17936.370000012932
Holland Village Market and Food Centre,32579.099999898666,23720.250000025735
Shunfu Road Blk 320 (Shunfu Mart),37123.62999996302,28413.24000006189
Smith Street Blk 335 (Chinatown Complex Market),29408.569999854466,29097.23000007996
Tanglin Halt Market,31460.21999988321,24027.710000068542
Tanjong Pagar Plaza Blk 6 (Blk 6 Tanjong Pagar Plaza Market and Food Centre),28787.07999984512,29096.05000004474
Telok Blangah Drive Blk 82 (Telok Blangah Market),28488.449999839977,25175.960000017414
Tiong Bahru Market,29724.04999985882,27892.070000045067
Bedok Food Centre,33624.10999991225,41594.72000000044
Bedok North Street 1 Blk 216,34365.559999924284,39118.19000004905
