ANG MO KIO AVE 5 648,3,-5.4,-18.5,4035.1
ANG MO KIO ST 21 253A,3,0.0,0.0,4452.6
ANG MO KIO AVE 10 439,3,-8.5,-21.8,4285.7
ANG MO KIO AVE 1 306,3,-14.2,-21.5,4322.5
ANG MO KIO AVE 6 729,3,0.0,0.0,5187.7
ANG MO KIO ST 31 315B,3,8.6,16.5,7297.4
ANG MO KIO AVE 6 700C,3,1.8,-3.4,7249.6
BEDOK RESERVOIR RD 620,1,-3.5,-4.1,5074.1
BEDOK RESERVOIR RD 620,2,-8.4,-4.0,4073.8
BEDOK RESERVOIR RD 620,3,0.0,0.0,3962.3
BEDOK STH RD 38,1,2.1,-10.9,5022.7
BEDOK NTH ST 3 504,2,-2.7,-12.9,4155.4
BEDOK NTH ST 3 545,2,-16.3,-18.8,3402.2
BEDOK NTH ST 3 545,3,-26.6,0.0,3333.3
BEDOK NTH ST 3 546,2,-13.8,-8.9,3867.6
BEDOK NTH ST 3 546,3,20.9,10.4,5069.9
BEDOK STH RD 18,2,-9.9,-14.6,3947.5
BEDOK NTH AVE 1 550,2,-0.0,-5.7,4198.5
BEDOK NTH AVE 1 550,3,0.0,-8.3,3773.0
BEDOK NTH ST 3 502,2,-8.3,-16.9,3867.8
BEDOK NTH RD 76,2,3.0,-8.2,4311.9
BEDOK RESERVOIR RD 709,2,1.8,0.0,4411.8
BEDOK RESERVOIR RD 709,3,0.0,0.0,3898.4
BEDOK RESERVOIR RD 703,2,-0.3,-6.4,4333.3
BEDOK RESERVOIR RD 703,3,2.5,6.6,4354.8
NEW UPP CHANGI RD 27,2,1.7,-0.9,4593.4
CHAI CHEE ST 42,2,5.6,-2.7,4511.2
CHAI CHEE ST 42,3,7.5,0.0,4673.9
CHAI CHEE ST 42,4,0.0,0.0,4820.3
BEDOK NTH RD 426,2,-6.4,5.6,4225.9
BEDOK NTH RD 426,3,0.0,0.0,4673.9
BEDOK NTH ST 3 530,2,-6.4,-14.3,3859.1
BEDOK NTH ST 3 530,3,7.5,2.5,4402.2
BEDOK NTH ST 1 420,2,1.3,7.1,4747.5
BEDOK NTH ST 1 420,3,0.0,0.0,5108.7
BEDOK NTH AVE 4 105,2,-5.0,-22.9,3689.0
BEDOK NTH AVE 4 105,3,0.0,0.0,3833.9
BEDOK NTH AVE 1 519,2,8.5,-8.8,4175.4
BEDOK NTH AVE 1 519,3,0.0,0.0,4130.4
BEDOK NTH AVE 1 548,2,-6.4,-14.8,3676.5
BEDOK NTH AVE 1 548,3,-16.0,0.0,3548.4
NEW UPP CHANGI RD 28,2,-3.5,-10.1,4296.2
NEW UPP CHANGI RD 28,3,0.0,0.0,5215.4
BEDOK NTH AVE 4 100,2,8.1,1.1,4462.7
BEDOK NTH AVE 4 100,3,-3.2,0.0,3804.3
BEDOK RESERVOIR RD 103,2,4.5,-2.5,4141.8
BEDOK RESERVOIR RD 103,3,0.9,1.2,4016.6
BEDOK NTH AVE 1 522,2,6.7,1.7,4440.3
BEDOK NTH AVE 1 522,3,0.0,0.0,4369.6
BEDOK NTH AVE 1 551,2,-10.6,-19.8,3554.2
BEDOK RESERVOIR RD 608,2,0.0,0.0,4318.6
BEDOK RESERVOIR RD 608,3,-1.3,0.0,4093.4
CHAI CHEE AVE 40,2,-5.9,-12.8,4092.3
NEW UPP CHANGI RD 57,2,-4.7,4.0,4595.8
BEDOK NTH AVE 3 401,2,-6.2,-14.2,4151.1
BEDOK NTH AVE 3 401,3,0.0,0.0,4510.9
BEDOK STH AVE 1 2,2,-9.5,-15.0,4071.4
BEDOK NTH RD 116,2,-4.4,-15.6,4041.1
BEDOK NTH RD 116,3,0.0,0.0,3729.2
BEDOK NTH RD 107,2,4.5,-4.1,4179.1
BEDOK NTH RD 107,3,0.0,0.0,3901.1
BEDOK CTRL 221B,2,7.3,11.4,7391.3
BEDOK CTRL 221B,3,-1.0,5.8,6896.9
BEDOK CTRL 219A,2,0.0,0.0,6597.9
BEDOK CTRL 219A,3,0.0,0.0,7175.4
BEDOK NTH AVE 2 512,3,-7.0,-15.4,3692.9
BEDOK RESERVOIR RD 131,3,-14.9,-4.8,3955.8
BEDOK RESERVOIR RD 147,3,-32.6,-35.1,3041.0
BEDOK NTH RD 117,3,0.0,0.0,4240.1
BEDOK NTH RD 117,2,3.0,-11.4,4301.4
BEDOK NTH RD 82,3,-1.1,-5.1,4130.4
BEDOK NTH RD 121,3,-2.9,-7.0,4021.7
BEDOK NTH ST 3 536,3,1.2,2.7,4157.9
BEDOK NTH ST 3 536,2,-18.3,-21.5,3489.8
BEDOK NTH AVE 2 517,3,0.0,0.0,4309.8
BEDOK STH AVE 2 34,3,0.7,-13.7,3846.3
BEDOK STH AVE 2 6,3,-8.2,-13.4,4024.4
BEDOK STH AVE 2 37,3,7.9,-6.8,4043.7
BEDOK STH AVE 2 35,3,-3.7,-15.0,3650.0
BEDOK RESERVOIR RD 724,3,-1.4,7.2,4208.7
BEDOK NTH ST 3 523,3,-15.4,-13.1,3847.8
NEW UPP CHANGI RD 65,3,-14.9,-15.5,4021.7
BEDOK NTH ST 2 132,3,-9.4,-2.6,4437.5
NEW UPP CHANGI RD 62,3,-11.2,-8.1,4308.0
BEDOK NTH RD 428,3,-8.5,-5.5,4326.1
BEDOK RESERVOIR VIEW 772,3,0.6,0.3,4826.1
BEDOK RESERVOIR VIEW 774,3,5.6,12.0,5238.1
BEDOK RESERVOIR VIEW 768,3,16.1,11.1,5653.8
BEDOK NTH RD 180,3,-7.9,5.8,6138.0
BEDOK RESERVOIR RD 611,3,5.9,9.9,3904.1
BEDOK RESERVOIR RD 602,3,3.9,5.8,3906.2
BEDOK RESERVOIR RD 101,3,0.1,-4.6,3719.5
BEDOK NTH AVE 3 506,3,-6.6,-3.2,4533.4
BEDOK NTH AVE 4 99,3,-7.2,-10.2,3922.8
BEDOK NTH AVE 1 553,3,-4.8,-17.1,4008.2
CHAI CHEE RD 804,3,5.8,8.2,5062.5
JLN TENAGA 659,3,11.3,8.3,4717.0
BEDOK NTH AVE 3 405,3,0.2,2.9,5480.9
BEDOK STH RD 172,3,-0.8,12.9,4754.1
BEDOK NTH AVE 3 406,3,1.7,-3.3,5211.9
NEW UPP CHANGI RD 55,3,-12.4,-15.8,4470.8
BEDOK STH AVE 3 66,3,2.2,-13.5,4796.7
LENGKONG TIGA 103,3,1.5,-1.7,5942.3
BEDOK STH AVE 3 67,3,-11.2,-31.6,4083.3
BEDOK RESERVOIR RD 114,4,7.2,2.2,4350.0
BEDOK STH AVE 2 10D,4,-11.7,-5.0,4964.5
BEDOK RESERVOIR RD 629,4,0.0,0.0,4897.5
BEDOK RESERVOIR RD 629,3,0.0,0.0,4352.5
LENGKONG TIGA 104,4,4.0,3.8,5913.2
SHUNFU RD 308,2,14.8,19.3,6985.1
SHUNFU RD 308,3,0.0,0.0,6266.7
BISHAN ST 12 107,3,-6.1,5.8,5769.2
BISHAN ST 13 177,3,-6.8,-12.0,5599.2
BISHAN ST 24 281,3,7.7,20.4,5534.0
BISHAN ST 12 113,3,3.2,-2.4,6364.1
BISHAN ST 13 167,3,-17.3,-22.6,4988.9
BISHAN ST 12 112,3,9.7,5.8,5975.3
SHUNFU RD 302,3,0.3,-6.2,5627.5
BISHAN ST 24 289,3,-6.8,-12.7,5633.6
SHUNFU RD 310,3,0.0,0.0,5803.0
BRIGHT HILL DR 447,3,5.0,8.5,5895.8
BRIGHT HILL DR 447,4,0.0,0.0,5680.5
BISHAN ST 23 217,3,0.0,-14.5,4766.4
BISHAN ST 12 128,3,-6.1,4.6,6177.7
BISHAN ST 12 128,4,0.0,0.0,7200.0
BISHAN ST 13 183,3,-0.9,-1.4,6363.6
BISHAN ST 13 192,3,-18.1,-23.3,5437.5
BISHAN ST 13 192,4,0.0,0.0,7047.0
SIN MING AVE 450,4,0.0,0.0,5474.1
SIN MING AVE 450,3,-9.5,-6.4,5200.0
BT BATOK ST 52 525,2,0.0,0.0,3984.4
BT BATOK WEST AVE 4 410,2,0.0,0.0,3626.2
BT BATOK WEST AVE 4 410,3,0.0,0.0,3232.3
BT BATOK WEST AVE 4 408,2,10.9,5.8,4176.5
BT BATOK WEST AVE 4 408,3,-1.1,-10.0,3457.4
BT BATOK WEST AVE 2 423,2,0.4,-7.2,3676.5
BT BATOK WEST AVE 2 423,3,-10.6,-15.6,3085.1
BT BATOK EAST AVE 4 272,2,3.4,-7.9,3945.3
BT BATOK EAST AVE 4 272,3,15.7,0.0,4047.6
BT BATOK EAST AVE 3 229,2,-2.9,-9.0,3845.8
BT BATOK EAST AVE 3 229,3,1.6,-9.4,3697.9
BT BATOK ST 21 217,2,-0.2,-5.6,3910.4
BT BATOK ST 21 217,3,0.0,0.0,3810.0
BT BATOK WEST AVE 2 421,2,-0.8,-7.3,3691.2
BT BATOK WEST AVE 2 421,3,0.0,0.0,3454.8
BT BATOK WEST AVE 4 407,2,0.0,0.0,3717.3
BT BATOK WEST AVE 4 407,3,5.1,-3.1,3484.0
BT BATOK EAST AVE 5 240,2,0.0,0.0,3910.4
BT BATOK EAST AVE 5 240,3,28.0,0.0,4265.2
BT BATOK WEST AVE 8 179,2,0.0,0.0,3535.1
BT BATOK WEST AVE 8 179,3,14.9,0.0,3645.8
BT BATOK WEST AVE 4 414,2,12.0,5.3,3972.6
BT BATOK WEST AVE 4 414,3,12.9,9.8,3572.8
BT BATOK EAST AVE 4 269,2,0.4,-14.3,3857.1
BT BATOK EAST AVE 4 269,3,-6.2,-9.7,3794.0
BT BATOK ST 11 152,2,-5.9,-18.4,3582.1
BT BATOK WEST AVE 6 146,2,10.2,-4.9,4000.0
BT BATOK WEST AVE 6 146,3,-8.6,0.0,3537.6
BT BATOK ST 51 533,2,2.8,2.3,4358.3
BT BATOK ST 52 540,2,-7.9,-9.7,3575.3
BT BATOK ST 52 540,3,-4.2,-6.0,3330.1
BT BATOK EAST AVE 5 239,2,-2.2,-6.2,3910.4
BT BATOK EAST AVE 5 239,3,17.6,10.3,4704.3
BT BATOK EAST AVE 5 249,2,0.0,0.0,3631.9
BT BATOK EAST AVE 5 249,3,8.1,-11.5,3543.7
BT BATOK ST 32 316,2,-0.3,-12.5,3705.9
BT BATOK ST 32 316,3,14.4,-7.2,3924.7
BT BATOK EAST AVE 5 250,2,7.1,1.4,3945.2
BT BATOK EAST AVE 5 250,3,10.2,-9.6,3524.3
BT BATOK ST 11 164,2,-1.0,-10.9,3630.1
BT BATOK ST 11 164,3,-7.5,-8.9,3524.0
BT BATOK WEST AVE 8 167,2,-2.7,-17.8,3445.9
BT BATOK WEST AVE 8 167,3,0.0,0.0,3649.4
BT BATOK ST 32 312,2,0.0,0.0,3908.7
BT BATOK ST 32 312,3,-7.4,-2.3,3634.4
BT BATOK ST 51 534,2,-8.0,-12.2,3804.3
BT BATOK ST 51 534,3,0.0,0.0,3398.4
BT BATOK ST 32 311,3,-5.1,-16.4,3483.1
BT BATOK ST 32 311,2,0.0,0.0,3921.9
BT BATOK WEST AVE 4 417,3,0.0,0.0,3276.7
BT BATOK WEST AVE 4 417,2,-0.7,-8.7,3538.8
BT BATOK ST 31 307,3,0.0,0.0,3346.9
BT BATOK ST 31 307,2,-14.2,-20.7,3382.4
BT BATOK WEST AVE 6 138,3,0.0,0.0,3957.0
BT BATOK WEST AVE 6 138,2,0.0,0.0,4082.9
BT BATOK CTRL 124,3,0.0,-3.2,4061.2
BT BATOK ST 25 288D,3,-10.1,-15.3,3766.3
BT BATOK WEST AVE 6 113,3,1.2,-10.1,3846.2
BT BATOK WEST AVE 6 186,3,0.0,0.0,3718.8
BT BATOK WEST AVE 5 386,3,11.0,5.4,5380.0
BT BATOK ST 34 337,3,4.3,-4.2,3821.4
BT BATOK WEST AVE 8 165,3,5.4,-9.4,3592.6
BT BATOK EAST AVE 3 290D,3,-9.3,-4.2,3874.4
BT BATOK WEST AVE 6 131,3,0.0,0.0,3894.8
BT BATOK WEST AVE 6 131,2,-0.5,-14.7,3698.6
BT BATOK ST 24 291D,3,6.1,6.0,4290.9
BT BATOK WEST AVE 5 384,3,3.3,-0.4,5035.6
BT BATOK ST 21 207,3,-6.1,-12.2,3875.0
BT BATOK ST 21 207,2,0.0,0.0,3893.8
BT BATOK WEST AVE 6 193,3,-0.4,7.0,4593.3
BT BATOK EAST AVE 5 243,3,-8.6,1.1,3558.7
BT BATOK WEST AVE 5 388,3,4.3,-5.0,4856.8
BT BATOK WEST AVE 6 102,3,13.4,13.1,4187.9
BT BATOK CTRL 623,3,0.0,0.0,5040.9
BT BATOK CTRL 621,3,-7.8,6.1,6333.3
BT BATOK CTRL 622,3,13.8,21.5,7363.9
BT BATOK ST 21 202,3,3.8,-2.0,4336.7
JLN KLINIK 28,1,-2.0,-11.9,4898.0
JLN KLINIK 28,2,10.1,-18.4,5232.8
LOWER DELTA RD 48,1,-23.0,-33.5,4098.8
BT MERAH VIEW 116,2,-22.7,-29.2,3813.6
JLN BT HO SWEE 8,2,-6.1,-18.8,5000.0
JLN BT MERAH 107,2,-13.1,-24.5,3761.9
TELOK BLANGAH CRES 5,2,-14.7,-19.8,3976.7
JLN KLINIK 26,2,-11.3,-26.0,4583.3
BT MERAH VIEW 129,2,-13.0,-26.4,4409.8
BT MERAH VIEW 130,2,-6.1,-21.9,4571.8
BT MERAH VIEW 130,3,0.0,0.0,5049.7
TELOK BLANGAH HTS 60,2,10.2,0.3,5378.1
TELOK BLANGAH HTS 60,3,0.0,0.0,4893.4
KIM TIAN RD 130,2,6.6,-21.3,4461.5
BT MERAH VIEW 128,2,-7.7,-16.5,4243.4
BEO CRES 38,2,0.4,-13.4,5593.2
BEO CRES 38,1,0.0,0.0,4696.1
CANTONMENT CL 11,2,4.1,13.8,8808.4
CANTONMENT CL 11,3,9.2,9.0,9633.3
TELOK BLANGAH DR 77,2,3.1,-0.5,5037.3
TELOK BLANGAH DR 77,3,0.0,0.0,5087.0
TELOK BLANGAH DR 55,2,-4.1,-6.8,4839.0
TELOK BLANGAH DR 55,3,0.0,0.0,4846.9
JLN MEMBINA 26D,2,7.1,9.3,9120.4
JLN MEMBINA 26D,3,-3.3,-6.7,7750.0
JLN MEMBINA 26C,2,16.0,4.8,8941.7
JLN MEMBINA 26C,3,6.6,3.0,8617.6
LIM LIAK ST 27,2,0.0,0.0,8133.3
LIM LIAK ST 29,2,0.0,0.0,7714.6
SENG POH RD 46,2,0.0,0.5,7102.3
TELOK BLANGAH HTS 59,3,0.0,0.0,5056.8
LENGKOK BAHRU 54,3,-6.1,-16.3,5273.8
DEPOT RD 106A,3,3.6,-9.1,6102.5
LENGKOK BAHRU 53,3,9.0,-4.7,5500.0
TELOK BLANGAH CRES 14,3,2.1,-4.6,5231.1
TELOK BLANGAH DR 54,3,0.0,0.0,4846.9
TELOK BLANGAH DR 54,2,0.0,0.0,5272.8
DEPOT RD 112B,3,18.1,9.4,6896.6
JLN MEMBINA 20,3,-1.2,1.8,8227.3
KIM TIAN PL 120,3,1.8,2.7,7475.2
REDHILL CL 70,3,1.6,-0.7,7412.5
REDHILL CL 68,3,1.0,-3.4,7089.4
REDHILL CL 69,3,-2.2,-3.9,7547.8
JLN MEMBINA 21,3,-0.4,2.4,7963.0
BOON TIONG RD 8A,3,-9.3,-2.4,7540.9
JLN MEMBINA 27A,3,4.7,-6.5,8208.8
BOON TIONG RD 2A,3,0.0,0.0,7799.8
HOY FATT RD 50,3,26.2,18.9,5886.0
DEPOT RD 106B,3,6.0,-0.5,5775.9
HAVELOCK RD 95,3,9.3,0.0,6525.4
REDHILL LANE 82,3,3.5,9.2,7083.3
KIM TIAN RD 119B,3,-4.8,2.5,7313.9
REDHILL RD 75C,3,3.8,5.4,7740.0
KIM TIAN PL 121,3,-1.9,-2.0,7139.1
BOON TIONG RD 2C,3,5.7,1.4,7982.6
GANGSA RD 109,2,0.0,0.0,4210.9
PETIR RD 142,2,0.0,0.0,4022.3
PETIR RD 142,3,0.0,0.0,3218.4
BANGKIT RD 251,2,6.8,-11.7,3815.1
BANGKIT RD 251,3,10.8,9.9,3786.4
SAUJANA RD 409,3,-0.2,13.9,3192.3
PETIR RD 208,3,19.3,17.5,3886.9
BT PANJANG RING RD 435,3,4.4,-2.1,3716.3
SAUJANA RD 412,3,6.5,4.1,3452.4
SEGAR RD 466,3,-4.8,-9.6,3457.2
SEGAR RD 466,4,0.0,0.0,3538.5
PETIR RD 140,3,11.3,10.3,3850.3
PENDING RD 123,3,0.0,0.0,3412.6
PENDING RD 123,2,0.0,0.0,3872.1
FAJAR RD 402,3,11.9,6.3,3634.5
PETIR RD 207,3,-14.7,-15.8,3012.0
JELAPANG RD 520,3,2.0,12.2,3885.7
JELAPANG RD 520,4,10.2,26.2,4609.9
JELAPANG RD 523,3,0.0,0.0,3507.6
JELAPANG RD 523,4,-0.8,0.0,4478.3
BT PANJANG RING RD 615,3,-1.5,3.2,4113.6
BT PANJANG RING RD 609,3,3.0,-5.7,4207.2
FAJAR RD 404,3,20.0,7.4,3774.0
SENJA RD 631,3,-2.7,-6.8,4514.9
SENJA RD 629,3,8.9,1.0,4871.9
FAJAR RD 440,3,0.0,0.0,3299.9
