ANG MO KIO AVE 4 174,560174,1.37509746867902,103.83761896123
ANG MO KIO AVE 10 541,560541,1.37392239168826,103.855621371068
ANG MO KIO AVE 4 163,NIL,1.37355179225548,103.838168952258
ANG MO KIO AVE 10 446,560446,1.36776094720351,103.85535715026
ANG MO KIO AVE 10 557,560557,1.3716257020332,103.857736107527
ANG MO KIO AVE 5 603,560603,1.3802007904728,103.83575571651
ANG MO KIO AVE 8 709,560709,1.37113720765377,103.847662320064
ANG MO KIO AVE 1 333,560333,1.3613425564061,103.851698621454
ANG MO KIO AVE 4 109,NIL,1.37009653758337,103.837687775294
ANG MO KIO AVE 3 564,560564,1.36984837555524,103.859404131956
ANG MO KIO AVE 1 218,560218,1.36511908595885,103.841742478489
ANG MO KIO AVE 10 556,560556,1.37203236308683,103.857625375797
ANG MO KIO AVE 4 156,560156,1.37549519574964,103.839947470774
ANG MO KIO AVE 10 471,560471,1.36346600647245,103.856702918462
ANG MO KIO AVE 10 434,560434,1.3678915069194,103.85345502653
ANG MO KIO AVE 10 560,560560,1.37081626777721,103.859192334256
ANG MO KIO AVE 1 332,560332,1.36167030761833,103.851955453764
ANG MO KIO AVE 10 421,560421,1.36538422642267,103.852966961527
ANG MO KIO AVE 8 506,560506,1.37440041920745,103.84893617353
ANG MO KIO AVE 4 631,560631,1.3795572819161,103.840735651035
ANG MO KIO AVE 5 153,560153,1.37635745661367,103.842056476563
ANG MO KIO AVE 10 442,560442,1.36565326940251,103.855232195496
ANG MO KIO AVE 10 558,560558,1.37123613284274,103.859192016193
ANG MO KIO AVE 3 212,560212,1.36880359418469,103.841618072603
ANG MO KIO AVE 5 152,560152,1.37668762567459,103.840159506601
ANG MO KIO AVE 1 331,560331,1.36211140145298,103.85076647513
ANG MO KIO AVE 3 121,560121,1.36970563478325,103.843515981311
ANG MO KIO AVE 3 130,560130,1.37039791675235,103.841878840032
ANG MO KIO AVE 6 646,560646,1.37939517687866,103.843763599411
ANG MO KIO AVE 3 424,560424,1.36860660305158,103.850808805402
ANG MO KIO AVE 3 584,560584,1.37071307985916,103.853497803014
ANG MO KIO AVE 10 412,560412,1.36385512178451,103.855287998999
ANG MO KIO AVE 4 612,560612,1.37890791374409,103.838602654716
ANG MO KIO AVE 3 562,560562,1.37018144221918,103.85901883576
ANG MO KIO AVE 1 223,560223,1.36604808445916,103.838122716883
ANG MO KIO AVE 5 150,560150,1.37680678506744,103.842017962576
ANG MO KIO AVE 10 468,560468,1.36487674599293,103.856287317569
ANG MO KIO AVE 4 177,560177,1.37583827139652,103.838123054825
ANG MO KIO AVE 10 415,560415,1.36445336562983,103.853655231224
ANG MO KIO AVE 4 254,560254,1.37020344042147,103.834687722549
ANG MO KIO AVE 1 207,560207,1.36582089504381,103.842847772078
ANG MO KIO AVE 10 432,560432,1.36830996981352,103.853600305664
ANG MO KIO AVE 4 117,560117,1.3737170825368,103.835610469339
ANG MO KIO AVE 3 428,560428,1.36893906457102,103.854412288513
ANG MO KIO AVE 3 573,560573,1.37056143999067,103.854823102785
ANG MO KIO AVE 10 418,560418,1.3649460137791,103.854043379775
ANG MO KIO AVE 3 324,560324,1.36833392201707,103.846879231399
ANG MO KIO ST 52 596B,562596,1.37205123278789,103.850545847531
ANG MO KIO AVE 3 234,560234,1.36718287740141,103.836639986274
ANG MO KIO AVE 5 648,560648,1.37823859353841,103.843719728887
ANG MO KIO ST 21 253A,561253,1.36994640110528,103.834284522299
ANG MO KIO AVE 10 439,560439,1.36629197864802,103.85349630883
ANG MO KIO AVE 1 306,560306,1.36572552222845,103.845750564626
ANG MO KIO AVE 6 729,560729,1.3738661404098,103.845935822176
ANG MO KIO ST 31 315B,563315,1.36402757273373,103.847478724527
ANG MO KIO AVE 6 700C,563700,1.36944159368432,103.84648823913
BEDOK RESERVOIR RD 620,470620,1.33433432226397,103.917712559288
BEDOK STH RD 38,460038,1.32082560856834,103.938994585574
BEDOK NTH ST 3 504,460504,1.33188000305478,103.932389359044
BEDOK NTH ST 3 545,460545,1.33005142402009,103.924118031423
BEDOK NTH ST 3 546,460546,1.33082005919243,103.925595840288
BEDOK STH RD 18,460018,1.32043932800483,103.934781862165
BEDOK NTH AVE 1 550,460550,1.3326931795279,103.926617402908
BEDOK NTH ST 3 502,460502,1.33124506219199,103.931244293846
BEDOK NTH RD 76,460076,1.3282966654865,103.942067527916
BEDOK RESERVOIR RD 709,470709,1.33541606639525,103.922350069667
BEDOK RESERVOIR RD 703,470703,1.33716507441515,103.919893055357
NEW UPP CHANGI RD 27,462027,1.32412432931247,103.934921045772
CHAI CHEE ST 42,461042,1.32797877350561,103.925804792632
BEDOK NTH RD 426,460426,1.32980063275836,103.928985674792
BEDOK NTH ST 3 530,460530,1.33371332018833,103.927020293564
BEDOK NTH ST 1 420,460420,1.32774467875638,103.928874390405
BEDOK NTH AVE 4 105,460105,1.33372280929,103.936517719048
BEDOK NTH AVE 1 519,460519,1.33087614142097,103.928059854349
BEDOK NTH AVE 1 548,460548,1.33131021834565,103.92685391703
NEW UPP CHANGI RD 28,460028,1.32369451969703,103.934994919422
BEDOK NTH AVE 4 100,460100,1.3343559340081,103.939032711241
BEDOK RESERVOIR RD 103,470103,1.32877022232019,103.909381354431
BEDOK NTH AVE 1 522,460522,1.33066302927677,103.92698039611
BEDOK NTH AVE 1 551,460551,1.33226851755602,103.927036580009
BEDOK RESERVOIR RD 608,470608,1.33184129947185,103.913196235939
CHAI CHEE AVE 40,461040,1.32604335303083,103.926488452026
