ANG MO KIO AVE 4 174,560174,1.37509746867902,103.83761896123,39676.80761312676,28478.57944457619
ANG MO KIO AVE 10 541,560541,1.37392239168826,103.855621371068,39546.88471445934,30482.02654878373
ANG MO KIO AVE 4 163,NIL,1.37355179225548,103.838168952258,39505.89469099435,28539.786998054078
ANG MO KIO AVE 10 446,560446,1.36776094720351,103.85535715026,38865.58321379297,30452.628285379793
ANG MO KIO AVE 10 557,560557,1.3716257020332,103.857736107527,39292.9307314948,30717.37331906323
ANG MO KIO AVE 5 603,560603,1.3802007904728,103.83575571651,40241.10670933853,28271.222750134773
ANG MO KIO AVE 8 709,560709,1.37113720765377,103.847662320064,39238.906436471385,29596.2838567291
ANG MO KIO AVE 1 333,560333,1.3613425564061,103.851698621454,38155.86679590349,30045.48337550971
ANG MO KIO AVE 4 109,NIL,1.37009653758337,103.837687775294,39123.83010488726,28486.23860654397
ANG MO KIO AVE 3 564,560564,1.36984837555524,103.859404131956,39096.4049507378,30903.006257876386
ANG MO KIO AVE 1 218,560218,1.36511908595885,103.841742478489,38573.45004366976,28937.4798522082
ANG MO KIO AVE 10 556,560556,1.37203236308683,103.857625375797,39337.89712051848,30705.049770071928
ANG MO KIO AVE 4 156,560156,1.37549519574964,103.839947470774,39720.786842129164,28737.713671849357
ANG MO KIO AVE 10 471,560471,1.36346600647245,103.856702918462,38390.6719205797,30602.400746138675
ANG MO KIO AVE 10 434,560434,1.3678915069194,103.85345502653,38880.017984958584,30240.94463135821
ANG MO KIO AVE 10 560,560560,1.37081626777721,103.859192334256,39203.429302485696,30879.434581261085
ANG MO KIO AVE 1 332,560332,1.36167030761833,103.851955453764,38192.108075406024,30074.06552335097
ANG MO KIO AVE 10 421,560421,1.36538422642267,103.852966961527,38602.77520996398,30186.631125729942
ANG MO KIO AVE 8 506,560506,1.37440041920745,103.84893617353,39599.73666994077,29738.045895567804
ANG MO KIO AVE 4 631,560631,1.3795572819161,103.840735651035,40169.95194624684,28825.426989527343
ANG MO KIO AVE 5 153,560153,1.37635745661367,103.842056476563,39816.13201995001,28972.419578111083
ANG MO KIO AVE 10 442,560442,1.36565326940251,103.855232195496,38632.52679160703,30438.724444927015
ANG MO KIO AVE 10 558,560558,1.37123613284274,103.859192016193,39249.855849311134,30879.39868337368
ANG MO KIO AVE 3 212,560212,1.36880359418469,103.841618072603,38980.86415694404,28923.63355111274
ANG MO KIO AVE 5 152,560152,1.37668762567459,103.840159506601,39852.63974850961,28761.310259101294
ANG MO KIO AVE 1 331,560331,1.36211140145298,103.85076647513,38240.88099632674,29941.745793902734
ANG MO KIO AVE 3 121,560121,1.36970563478325,103.843515981311,39080.60802949888,29134.84747638422
ANG MO KIO AVE 3 130,560130,1.37039791675235,103.841878840032,39157.156335409585,28952.653192364378
ANG MO KIO AVE 6 646,560646,1.37939517687866,103.843763599411,40152.028457009656,29162.39969548265
ANG MO KIO AVE 3 424,560424,1.36860660305158,103.850808805402,38959.08737177103,29946.45143620605
ANG MO KIO AVE 3 584,560584,1.37071307985916,103.853497803014,39192.01321787227,30245.702516237398
ANG MO KIO AVE 10 412,560412,1.36385512178451,103.855287998999,38433.696830320776,30444.936524828634
ANG MO KIO AVE 4 612,560612,1.37890791374409,103.838602654716,40098.14748088794,28588.051447099966
ANG MO KIO AVE 3 562,560562,1.37018144221918,103.85901883576,39133.2333080483,30860.127058237777
ANG MO KIO AVE 1 223,560223,1.36604808445916,103.838122716883,38676.172860913706,28534.643226634314
ANG MO KIO AVE 5 150,560150,1.37680678506744,103.842017962576,39865.81646120288,28968.133268402726
ANG MO KIO AVE 10 468,560468,1.36487674599293,103.856287317569,38546.66387692505,30556.14778617606
ANG MO KIO AVE 4 177,560177,1.37583827139652,103.838123054825,39758.72191799875,28534.678670381258
ANG MO KIO AVE 10 415,560415,1.36445336562983,103.853655231224,38499.845995336625,30263.22822355788
ANG MO KIO AVE 4 254,560254,1.37020344042147,103.834687722549,39135.6504789606,28152.3690952811
ANG MO KIO AVE 1 207,560207,1.36582089504381,103.842847772078,38651.05297693919,29060.485578225842
ANG MO KIO AVE 10 432,560432,1.36830996981352,103.853600305664,38926.28962024282,30257.11206290983
ANG MO KIO AVE 4 117,560117,1.3737170825368,103.835610469339,39524.1712259949,28255.05925334139
ANG MO KIO AVE 3 428,560428,1.36893906457102,103.854412288513,38995.852499264416,30347.475372776473
ANG MO KIO AVE 3 573,560573,1.37056143999067,103.854823102785,39175.24693418757,30393.192438097187
ANG MO KIO AVE 10 418,560418,1.3649460137791,103.854043379775,38554.32088983486,30306.42408688309
ANG MO KIO AVE 3 324,560324,1.36833392201707,103.846879231399,38928.93286272548,29509.13736766537
ANG MO KIO ST 52 596B,562596,1.37205123278789,103.850545847531,39339.976803409605,29917.184656887617
ANG MO KIO AVE 3 234,560234,1.36718287740141,103.836639986274,38801.65220769564,28369.632833671898
ANG MO KIO AVE 5 648,560648,1.37823859353841,103.843719728887,40024.13932470612,29157.51801461189
ANG MO KIO ST 21 253A,561253,1.36994640110528,103.834284522299,39107.228357961416,28107.497808277447
ANG MO KIO AVE 10 439,560439,1.36629197864802,103.85349630883,38703.15032131576,30245.540340368818
ANG MO KIO AVE 1 306,560306,1.36572552222845,103.845750564626,38640.50861025378,29383.531833687826
ANG MO KIO AVE 6 729,560729,1.3738661404098,103.845935822176,39540.65686493625,29404.144058094265
ANG MO KIO ST 31 315B,563315,1.36402757273373,103.847478724527,38452.75906164196,29575.856539359072
